statement_number,speaker,timestamp,statement,speaker_type,night,debate
19,Guthrie,,"That’s time. Thank you. Senator Booker, there is a debate in this party right now about the role of corporations, as you know. Senator Warren in particular put out a plan to break up tech companies like Facebook, Amazon, and Google. You’ve said we should not, “be running around pointing at companies and breaking them up without any kind of process.” Why do you disagree?",proctor,1,1
20,Booker,,"I don’t think I disagree. I think we have a serious problem in our country with corporate consolidation. you see the evidence of that in how dignity is being stripped from Labor. We have people that work full-time jobs and still can’t make a living wage. We see that because consumer prices are being raised by pharmaceutical companies that often have monopolistic holds on drugs, and you see that by just the fact that this is actually an economy that’s hurting small businesses and not allowing them to compete.",candidate,1,1
21,Booker,,"One of the most aggressive bills in the Senate to deal with corporate consolidation is mine about corporate consolidation in the ag sector. I feel very strongly about the need to check the corporate consolidation and let the free market work. I’ll tell you this. I live in a low income black and brown community. I see every single day that this economy is not working for average Americans. The indicators that are being used from GDP to Wall Street’s rankings is not helping people in my community. It is about time that we have economy that works for everybody, not just the wealthiest in our nation.",candidate,1,1
22,Guthrie,,"Quickly, Senator Booker, you did say that you didn’t think it was right to name names, to name companies and single them out as Senator Warren has briefly. Why is that?",proctor,1,1
23,Booker,,"Well again, I will single out companies like Halliburton or Amazon that pay nothing in taxes and our need to change that. When it comes to antitrust law, what I will do is number one, appoint judges that will enforce it. Number two, have a DOJ and a Federal Trade Commission that will go through the processes necessary to check this kind of corporate concentration. At the end of the day, we have too much of a problem with corporate power growing. We see that with everything from Citizens United and the way they’re trying to influence Washington. It’s about time that we have a President that fights for the people in this country.",candidate,1,1
24,Guthrie,,That’s time sir.,proctor,1,1
25,Booker,,We need to have someone that’s a champion for them.,candidate,1,1
26,Guthrie,,"Thank you. Senator Warren, I mentioned you. Are you picking winners and losers?",proctor,1,1
27,Warren,,"The way I understand this is there is way too much consolidation now in giant industries in this country. That hurts workers. It hurts small businesses. It hurts independent farmers. It hurts our economy overall, and it helps constrict real innovation and growth in this economy. Now look, we’ve had the laws out there for a long time to be able to fight back. What’s been missing is courage, courage in Washington to take on the giants. That’s part of the corruption in this system.",candidate,1,1
28,Warren,,"It has been for too long that the monopolies have been making the campaign contributions, have been funding the Super PACs, have been out there making sure that their influence is heard and felt in every single decision that gets made in Washington. Where I want to start this is I want to return government to the people and that means calling out the names of the monopolies and saying, “I have the courage to go after them.”",candidate,1,1
29,Guthrie,,Thank you.,proctor,1,1
30,Holt,,Secretary Castro. The next question is for you. Democrats have been talking about the pay gap for decades. What would you do to ensure that women are paid fairly in this country?,proctor,1,1
31,Castro,,"Thank you very much for that question, Lester. I grew up with a mother who raised my brother Joaquin and me as a single parent, and I know what it’s like to struggle. I know what it’s like to rent a home and to worry about whether you’re going to be able to pay the rent at the first of the month, and to see a mom work very, very hard and know that moms across this country are getting paid less simply because they’re women. I would do several things, starting with something we should’ve done a long time ago, which is to pass the Equal Rights Amendment finally in this country and also pursue legislation so that women are paid equal pay for equal work in this country. It’s past time that we did that and we have to do this. If we want to be the most prosperous nation in the 21st century, we need to make sure that women are paid what they deserve.",candidate,1,1
32,Holt,,"All right, thank you. I want to put the same question to Congresswoman Gabbard. Your thoughts on equal pay?",proctor,1,1
33,Gabbard,,"Well, first of all, let’s recognize the situation we’re in, that the American people deserve a president who will put your interests ahead of the rich and powerful. That’s not what we have right now. I enlisted in the Army National Guard after the al-Qaeda terror attacks on 9/11, so I could go after those who had attacked us on that day. I still serve as a Major, served over 16 years, deployed twice in the Middle East and in Congress, serve on the Foreign Affairs and Armed Services Committees for over six years.",candidate,1,1
34,Gabbard,,"I know the importance of our national security, as well as the terribly high cost of war, and for too long our leaders have failed us, taking us from one regime change war to the next, leading us into a new cold war, an arms race costing us trillions of our hard earned taxpayer dollars and countless lives. This insanity must end. As President I will take your hard earned taxpayer dollars and instead invest those dollars into serving your needs. Things like healthcare, a green economy, good paying jobs, protecting our environment, and so much more.",candidate,1,1
35,Jose,,"Mayor de Blasio, good evening. You’re the mayor of the biggest city in the United States, but it’s also one of the cities in the country with the greatest gap between the wealthy and the poor. How would you address income inequality?",proctor,1,1
36,de Blasio,,"Well, we’ve been addressing income inequality in New York City by raising wages, by raising benefits, by putting money back in the hands of working people. $15 minimum wage, paid sick days, Pre-K for All, things that are making a huge difference in working people’s lives. But let me tell you what we’re hearing here already in the first round of questions is that battle from the heart and soul of our party. I want to make it clear, this is supposed to be the party of working people.",candidate,1,1
37,de Blasio,,"Yes, we’re supposed to be for 70% tax rate on the wealthy. Yes, we’re supposed to be for free college, free public college for our young people. We are supposed to break up big corporations when they’re not serving our democracy. This Democratic Party has to be strong and bold and progressive, and in New York we’ve proven that we can do something very different.",candidate,1,1
38,de Blasio,,"We can put money back in the hands of working people, and let me tell you, every time you talk about investing in people in their communities, you hear folks say, “There’s not enough money.” What I say to them every single time is, “There’s plenty of money in this world. There’s plenty of money in this country. It’s just in the wrong hands.” We Democrats have to fix that.",candidate,1,1
39,Jose,,"Congressman Delaney, do you agree?",proctor,1,1
40,Delaney,,"I think we need to do real things to help American workers and the American people, right? This is the issue that all of us here on the campaign trail. We need to make sure everyone has a living wage and I’ve called for a doubling of the Earned Income Tax Credit, raising the minimum wage and creating paid family leave. That will create a situation where people actually have a living wage. That gets right to workers. Then we’ve got to fix our public education system. It’s not delivering the results our kids needs, nor is college and post high school career and technical training programs doing that.",candidate,1,1
41,Delaney,,"I’m very different than everyone else here on this stage. Prior to being in Congress, I was an entrepreneur. I started two businesses. I created thousands of jobs. I spent my whole career helping small to mid size businesses all over the country. 5,000 of them I supported. The Obama administration gave me an award for lending to disadvantaged communities. I know how to create jobs. We need to a short term strategy, which is to put money in the pockets of workers with the Earned Income Tax Credit, raising the minimum wage and creating paid family leave, and then we need to have a longterm strategy to make sure this country is competitive and we’re creating jobs everywhere–",candidate,1,1
42,Jose,,Thank you.,proctor,1,1
43,Delaney,,… in this country.,candidate,1,1
44,Jose,,"Governor Inslee, how would you address income inequality?",proctor,1,1
45,Inslee,,"Well, I’m a little bit surprised. I think plans are great, but I’m a governor, and we got to realize the people who brought us the weekend unions [inaudible 00:13:28] going to bring us a long overdue raise in America. I’m proud of standing up for unions. I’ve got a plan to reinvigorate collective bargaining so we can increase wages finally. I marched with the [inaudible 00:13:27] folks. It is not right that the CEO of McDonald’s makes 2,100 times more than the people slinging hash at McDonald’s. The next thing I’ll do is put people to work in the jobs of the present and the future.",candidate,1,1
46,Inslee,,"Look at, Donald Trump is simply wrong. He says wind turbines cause cancer. We know they cause jobs, and we know that we can put millions of people to work in the clean energy jobs of the future. Carpenters, IBW’s members, machinists. We’re doing it in my state today, and then we can do what America always does: lead the world and invent the future and put people to work. That’s what we’re going to do.",candidate,1,1
47,Jose,,"To Congressman Ryan, President Trump, and you just referred to him, promised that manufacturing jobs were all coming back to places like your home state of Ohio. Can you make that same promise?",proctor,1,1
48,Ryan,,"Yes, I believe you can, but the first, let’s say the President came, he said, “Don’t sell your house,” to people in Youngstown, Ohio, and in his administration, just in the last two years, we lost 4,000 jobs at a General Motors facility that rippled throughout our community. General Motors got a tax cut, General Motors got a bail out, and then they have the audacity to move a new car that they’re going to produce to Mexico.",candidate,1,1
49,Ryan,,"I’ve had family members that have the unbolt a machine from the factory floor, put it in a box and ship it to China. My area where I come from in northeast Ohio, this issue we’re talking about here, it’s been going on 40 years. This is not a new phenomenon in the United States of America. The bottom 60% haven’t seen a raise since 1980. Meanwhile, the top 1% controlled 90% of the wealth. We need an industrial policy saying, “We’re going to dominate building electric vehicles.” There’s going to be 30 million made in the next 10 years. I want half of them made in the United States. I want to dominate the solar industry-",candidate,1,1
50,Jose,,Thank you.,proctor,1,1
51,Ryan,,… and manufacture those here in the United States.,candidate,1,1
52,Jose,,"Senator Warren, are they coming back? Are these jobs coming back?",proctor,1,1
53,Warren,,"We’ve had an industrial policy in the United States for decades now, and it’s basically been let giant corporations do whatever they want to do. Giant corporations have exactly one loyalty, and that is to profits, and if they can save a nickel by moving a job to Mexico or to Asia or to Canada, they’re going to do it.",candidate,1,1
54,Warren,,"Here’s what I propose for an industrial policy. Start with a place where there’s a real need. There’s going to be a worldwide need for green technology, ways to clean up the air, ways to clean up the water, and we can be the ones to provide that. We need to go 10 fold in our research and development on green energy going forward, and then we need to say, “Any corporation can come and use that research. They can make all kinds of products from it, but they have to be manufactured right here in the United States of America,” and then we have to double down and sell it around the world. There’s a $23 trillion market coming for green products. We should be the leaders and the owners and we should have that 1.2 million manufacturing-",candidate,1,1
55,Holt,,Thank you.,proctor,1,1
56,Warren,,… jobs here in America. We can do this.,candidate,1,1
57,Holt,,"All right. We’re going to turn to the issue of healthcare right now and really try to understand where there may or may not be daylight between you. Many people watching at home have health insurance coverage through their employer. Who here would abolish their private health insurance in favor of a government run plan. Just a show hands, start off with. All right. Well, Senator Klobuchar, let me put the question to you. You’re one of the Democrats who wants to keep private insurance in addition to a government healthcare plan. Why is an incremental approach in your view better than a sweeping overhaul?",proctor,1,1
58,Klobuchar,,"Well, I think it’s a bold approach. It’s something that Barack Obama wanted to do when we were working on the Affordable Care Act, and that is a public option. I am just simply concerned about kicking half of America off of their health insurance in four years, which is exactly what this bill says.",candidate,1,1
59,Klobuchar,,"Let me go on beyond that. There’s a much bigger issue in addition to that and that is pharmaceuticals. The President literally went on TV on Fox and said that people’s heads would spin when they see how much he would bring down pharmaceutical prices. Instead, 2,500 drugs have gone up in double digits since he came into office. Instead he gave $100 billion in giveaways to the pharma companies. For the rest of us, for the rest of America that’s what we call at home all foam and no beer. We got nothing out of it, and so my proposal is to do something about pharma, to take them on, to allow negotiation under Medicare, to bring in less expensive drugs from other countries, and pharma thinks they own Washington. Well they don’t own me.",candidate,1,1
60,Holt,,"Your time is up. Thank you. Senator Warren, you signed onto Bernie Sanders Medicare for All Plan. It would put essentially everybody on Medicare and then eliminate private plans that offer similar coverage. Is that the plan or path that you would pursue as President?",proctor,1,1
61,Warren,,"Yes, I’m with Bernie on Medicare for All. Let me tell you why. I spend a big chunk of my life studying why families go broke, and one of the number one reasons is the cost of health care, medical bills. That’s not just for people who don’t have insurance. It’s for people who have insurance. Look at the business model of an insurance company. It’s to bring in as many dollars as they can in premiums and to pay out as few dollars as possible for your healthcare.",candidate,1,1
62,Warren,,"That leaves families with rising premiums, rising copays, and fighting with insurance companies to try to get the healthcare that their doctors say that they and their children need. Medicare for All solves that problem. I understand. There are a lot of politicians who say, “Oh, it’s just not possible. We just can’t do it. It’s …” Have a lot of political reasons for this. What they’re really telling you is they just won’t fight for it. Well, healthcare is a basic human right and I will fight for basic human rights. [crosstalk 00:19:54]",candidate,1,1
63,Holt,,"Thank you. Congressman O’Rourke, when you ran for Senate, you also praised a bill that would replace private insurance. This year you’re saying you’re no longer sure. Can you explain why?",proctor,1,1
64,O'Rourke,,"My goal is to ensure that every American is well enough to live to their full potential because they have health care. In Laredo, Texas I met a young man, 27 years old, told me that he’d been to a doctor once in his life and on that visit he was told he had diabetes. He was told he had glaucoma and he was told, untreated because he doesn’t have health care, he’ll be dead before the age of 40. Getting to guaranteed high quality universal health care as quickly and surely as possible has to be our goal. The ability to afford your prescriptions and go to a primary care provider, the ability to see a mental healthcare provider …",candidate,1,1
65,O'Rourke,,"In Texas, the single provider of mental health care services is the county jail system today. Health care also has to mean that every woman can make her own decisions about her own body and has access to the care that makes that possible. Our plan says if you’re uninsured, we enroll you in Medicare. If you’re insufficiently insured, you can’t afford your premiums, we enroll you in Medicare. But if you’re a member of a union that negotiated for a healthcare plan that you like because it works for you-",candidate,1,1
66,Holt,,Your time is up.,proctor,1,1
67,O'Rourke,,… your family … you’re able to keep it. We preserve choice by making sure-,candidate,1,1
68,Holt,,"Your time is up Congressman, but I do want to ask a followup on this one just to be very clear. I’ll give you 10 seconds. Would you replace private insurance?",proctor,1,1
69,O'Rourke,,No. I think the choice is fundamental to our ability to get everybody cared for. [crosstalk 00:21:29],candidate,1,1
70,de Blasio,,"Hey, wait, wait, wait. Congressman O’Rourke. Congressman O’Rourke. Private insurance is not working for tens of millions of Americans. When you talk about the copays, the deductibles, the premiums, the out of pocket expenses, it’s not working.",candidate,1,1
71,O'Rourke,,That’s right so for those-,candidate,1,1
72,de Blasio,,How can you defend the system that’s not working?,candidate,1,1
73,O'Rourke,,"… for whom it’s not working, [crosstalk 00:21:41] they can choose Medicare. Right? For those not working, they can choose Medicare.",candidate,1,1
74,de Blasio,,Congressman. You’ve got to start by acknowledging the system is not working for people. [crosstalk 00:21:43],candidate,1,1
75,O'Rourke,,"For the [inaudible 00:21:43] workers in Nevada who I listened to, who negotiated for those plans, they’re able to keep them.",candidate,1,1
76,de Blasio,,Why are you defending private insurance [crosstalk 00:21:50].,candidate,1,1
77,Delaney,,"[crosstalk 00:21:50] million Americans say they like their private health insurance, by the Way. It should be noted that 100 million Americans … I mean I think we should be the party that keeps what’s working and fixes what’s broken. I mean, doesn’t that make sense? I mean we should give everyone in this country healthcare as a basic human right for free, full stop. But we should also give them the option to buy private insurance. Why do we have to stand for taking away something from people, and also it’s bad policy. If you go to every hospital in this country and you asked them one question, which is how would it have been for you last year if every one of your bills were paid at the Medicare rate? Every single hospital administrator said they would close.",candidate,1,1
78,Delaney,,"The Medicare for All bill requires payments to stay at current Medicare rates. To some extent we’re basically supporting a bill that will have every hospital closed. I mean my dad was a union electrician, right? I actually grew up in a working class family. He loved the healthcare that the IBEW gave him. I just always think about my dad and anything I would do it from a policy perspective. He’d look at me and he’d say, “Good job John for getting healthcare for every American-",candidate,1,1
79,Holt,,I’ve let this-,proctor,1,1
80,Delaney,,… but why are you taking my healthcare away?,candidate,1,1
81,Holt,,… play out a little bit because I’m fascinated to hear the daylight between you. Congresswoman Gabbard.,proctor,1,1
82,Gabbard,,Yes.,candidate,1,1
83,Holt,,Weigh in here.,proctor,1,1
84,Gabbard,,"I think we’re talking about this in the wrong way. You’re talking about one bill over another bill. Really what we’re talking about is our objective. Making sure that every single sick American in this country is able to get the healthcare that they need. I believe Medicare for All is the way to do that. I also think that employers will recognize how much money will be saved by supporting a Medicare for All program, a program that will reduce the administrative costs, reduce the bureaucratic costs, and make sure that everyone gets that quality healthcare that they need. I also think if you look at-",candidate,1,1
85,Holt,,Senator-,proctor,1,1
86,Gabbard,,"… other countries in the world who have universal healthcare, every one of them has some form of a role of private insurance. I think that’s what we’ve got to look at, taking the best of these ideas, but making sure unequivocally that no sick American goes without getting the care that they need regardless of how much or little money-",candidate,1,1
87,Holt,,Congresswoman.,proctor,1,1
88,Gabbard,,… they have in their pocket.,candidate,1,1
89,Holt,,"Congresswoman, thanks. Let me turn to Senator Booker on this. Senator Booker, explain to me where you are. This is hugely important to people so tell us where you are.",proctor,1,1
90,Booker,,"I absolutely will. First of all, we’re talking about this as a healthcare issue, but in communities like mine, low income communities [inaudible 00:24:11] an education issue, because kids who don’t have health care are not going to succeed in school. It is an issue for jobs and employment because people that do not have good healthcare do not succeed at work. It’s even a retirement issue, because in my community, African Americans have a lower life expectancy because of poor health care and so where I stand is very clear, healthcare is not just a human right, it should be an American right.",candidate,1,1
91,Booker,,"I believe the best way to get there is Medicare for All, but I have an urgency about this. When I am President of the United States, I’m not going to wait. We have to do the things immediately that are going to provide better care. On this debate, I’m sorry, there are too many people profiteering off of the pain of people in America from pharmaceutical companies to insurers. Literally the overhead for insurers that they charge is 15% while Medicare’s overhead is only at 2%. We can do this better and every single day I will be fighting to give people more access and more affordable costs until we get to my goal-",candidate,1,1
92,Holt,,Your time is up Senator.,proctor,1,1
93,Booker,,… which is every American having healthcare.,candidate,1,1
94,Holt,,"Your time is up Senator. I want to move back, if I can to [crosstalk 00:25:14] Congressman Gabbard. [crosstalk 00:00:25:14].",proctor,1,1
95,Warren,,"Let me just ask the Senator. I just want to add to Senator Booker’s point of … and that is that the insurance companies, last year alone sucked $23 billion in profits out of the healthcare system $23 billion, and that doesn’t count the money that was paid to executives, the money that was spent lobbying Washington. We have a giant industry that wants our healthcare system to stay the way it is because it’s not working for families, but it’s sure as heck working for them.",candidate,1,1
96,Holt,,Governor Inslee.,proctor,1,1
97,Warren,,It is time for us to make-,candidate,1,1
98,Holt,,Governor Inslee. Governor Inslee.,proctor,1,1
99,Warren,,… families come first.,candidate,1,1
100,Inslee,,"It should not be an option in the United States of America for any insurance company to deny women coverage for their exercise of their right of choice. I am the only candidate here who has passed a law protecting a woman’s right of reproductive health and health insurance. I’m the only candidate who has passed a public option. I respect everybody’s goals and plans here, but we do have one candidate that’s actually advanced the ball and we got to have access for everyone. I’ve done it as a public option.",candidate,1,1
101,Holt,,"[crosstalk 00:26:22] Your time is up, Governor. Senator Klobuchar, I want to give you-",proctor,1,1
102,Speaker 16,,That’s a false claim. That’s a false claim.,proctor,1,1
103,Speaker 17,,Lester. Lester.,proctor,1,1
104,Holt,,I’m fascinated by this. Senator Klobuchar.,proctor,1,1
105,Klobuchar,,"I just want to say there’s three women up here that have fought pretty hard for a woman’s right to choose, so I’ll start with that. Then I just want to make very clear, I think we share the goal of universal healthcare. The idea I put out there, the public option, which the governor was just talking about, this idea is that you use Medicare or Medicaid without any insurance companies involved. You could do it either way. The estimates are 13 million people would see a reduction in their premiums, 12 more million people would get covered. I think it is a beginning and the way you start and the way you move to universal healthcare.",candidate,1,1
106,Holt,,"[crosstalk 00:27:07] Secretary Castro, this one is for you. All of you on stage support a woman’s right to an abortion. You all support some version of a government healthcare option. Would your plan cover abortion, Mr. Secretary?",proctor,1,1
107,Castro,,"Yes, it would. I don’t believe only in reproductive freedom, I believe in reproductive justice. What that means is just because a woman or lets also not forget someone in the trans community—a trans female, is poor doesn’t mean they shouldn’t have the right to exercise that right to choose. I absolutely would cover the right to have an abortion.",candidate,1,1
108,Castro,,"More than that everybody in this crowd and watching at home knows that in our country today a persons right to choose is under assault in places like Missouri, in Alabama, in Georgia. I would appoint judges to the federal bench that understand the precedent of Roe v. Wade and would respect it and in addition to that, make sure that we fight hard as we transition our healthcare system to one where everybody can get and exercise that right.",candidate,1,1
109,Holt,,"Senator Warren, would you put limits on … any limits on abortion?",proctor,1,1
110,Warren,,"I would make certain that every woman has access to the full range of reproductive healthcare services and that includes birth control. It includes abortion. It includes everything for a woman. I want to add on that it’s not enough for us to expect the courts to protect us. 47 years ago, Roe versus Wade was decided and we’ve all looked to the courts all that time as state after state has undermined Roe, has put in exceptions, has come right up to the edge of taking away protection-",candidate,1,1
111,Holt,,Your time is up Senator.,proctor,1,1
112,Warren,,We now have an America where most people support Roe versus Wade. We need to make that a federal law.,candidate,1,1
113,Holt,,"Senator, you’re over. Thank you. [inaudible 00:00:28:59].",proctor,1,1
114,Jose,,"Lester, thank you. Senator Booker, I want to kind of come back on a discussion we were having about health and the opioid crisis. You represent a state where 14 of the 28 largest pharmaceutical companies are based. Should pharmaceutical companies that manufacture these drugs be held criminally liable for what they do?",proctor,1,1
115,Booker,,"They should absolutely be held criminally liable because they are liable and responsible. This is one of The reasons why well before I was running for President, I said I would not take contributions from pharma companies, not take contributions from corporate PACs or pharma executives because they are part of this problem and this opioid addiction in our country. We, in cities like mine, have tried to arrest our way out of addiction for too long. It is time that we have a national urgency to deal with this problem and make the solutions that are working to actually be the law of our land and make the pharmaceutical companies that are responsible help to pay for that.",candidate,1,1
116,Jose,,"Congressman O’Rourke, how would you deal with it?",proctor,1,1
117,O'Rourke,,"Tonight in this country, you have 2.3 million of our fellow Americans behind bars. It’s the largest prison population on the face of the planet. Many are there for nonviolent drug crimes, including possession of marijuana, at a time that more than half the states have legalized it or decriminalized it, and yet, despite what Purdue Pharma has done, their connection to the opioid crisis and the overdose deaths that we’re seeing throughout this country, they’ve been able to act with complete impunity and pay no consequences, not a single night in jail. Unless there’s accountability and justice this crisis will continue. In my administration we will hold them to account. We will make sure that they pay a price and we will help those who’ve been victims of this malfeasance in this country, get them treatment and long-term care.",candidate,1,1
118,Holt,,I know immigration is on a lot of your minds here and I want to talk about it. We’re going to talk about it in a moment. We need to take a break. We’ll be back with more from Miami after this.,proctor,1,1
119,Jose,,"We want to turn to an issue that has been in the news, especially this week. There are undocumented children being held alone in detention, even as close as Homestead, Florida right here, less than 30 miles from where we are tonight. Fathers and mothers and children are dying while trying to enter the United States of America. We saw that image today. It broke our hearts, and they had names. Oscar Martínez and his 23 month old daughter Valeria died trying to cross the river to ask for asylum in this country.",proctor,1,1
120,Jose,,"Last month, more than 130000 migrants were apprehended at the southern border. Secretary Castro, if you were president today, [inaudible 00:01:02], what would you specifically do?",proctor,1,1
121,Castro,,"Thank you very much, Jose. I’m very proud that in April I became the first candidate to put forward a comprehensive immigration plan. And we saw those images…",candidate,1,1
122,Castro,,"Watching that image of Oscar and his daughter Valeria is heartbreaking. It should also piss us all off. If I were president today… And it should spur us to action. If I were president today, I would sign an executive order that would get rid of Trump’s zero tolerance policy, the Remain in Mexico policy, and the metering policy. This metering policy is basically what prompted Oscar and Valeria to make that risky swim across the river. They had been playing games with people who were coming and trying to seek asylum at our ports of entry. Oscar and Valeria went to a port of entry, and then they were denied the ability to make an asylum claim. So they got frustrated, and they tried to cross the river. And they died because of that.",candidate,1,1
123,Jose,,On day one. Sorry. I’m just going to ask you for 30 seconds.,proctor,1,1
124,Castro,,"On day I would do that executive order that would address metering, and then I would follow that up in my first hundred days with immigration reform that would honor asylum claims that would put undocumented immigrants, as long as they haven’t committed a serious crime, on a pathway to citizenship. And that would go to the root cause of the issue, which is we need a Marshall Plan for Honduras and Guatemala and El Salvador so that people can find safety and opportunity at home instead of coming to the United States to seek it.",candidate,1,1
125,Jose,,"Senator Booker, what would you do on day one? And this is a situation that the next president will inherit.",proctor,1,1
126,Booker,,Yes. [inaudible 00:02:43].,candidate,1,1
127,Booker,,"On day one I will make sure that number one we end the ICE policies and the customs and border policies that are violating the human rights. When people come to this country, they do not leave their human rights at the border. Number two, I will make sure that we reinstate DACA, that we reinstate pathways to citizenship for DACA recipients, and to make sure that people that are here on temporary protected status can stay and remain here. And then finally, we need to make sure that we address the issues that made Oscar and Valeria come in the first place by making major investments in the northern triangle, not like this president is doing by ripping away the resources we need to actually solve this problem. We cannot surrender our values and then think that we’re going to get border security. We actually will lose security and our values. We must fight for both.",candidate,1,1
128,Castro,,"If I might very briefly… And this is an important point. My plan… And I’m glad to see that Senator Booker, Senator Warren, and Governor Inslee agree with me on this. My plan also includes getting rid of Section 1325 of the Immigration and Nationality Act to go back to the way we used to treat this. When somebody comes across the border, not to criminalize desperation, to treat that as a civil violation. And here’s why it’s important. We see all of this horrendous family separation. They use that law, Section 1325, to justify under the law separating little children [crosstalk 00:04:24] from their families.",candidate,1,1
129,Booker,,Jose.,candidate,1,1
130,Castro,,[crosstalk 00:04:24] And so I want to challenge every single candidate on this stage to support the repeal of Section 1325. [crosstalk 00:04:31].,candidate,1,1
131,Jose,,"30 seconds, Senator.",proctor,1,1
132,Booker,,"As my friend here said, I agree with him on that issue. But folks should understand that the separation of children from families doesn’t just go on at our border. It happens in our communities as ICE are ripping away parents from their American children, spouses in the light, and are creating fear in cities all across this country where parents are afraid to even drop their kids off to school or go to work. We must end those policies.",candidate,1,1
133,de Blasio,,"Jose, we have to change our discussion about immigration [crosstalk 00:04:56] in this county. Because look at the bottom line here. Those tragic… That tragic photo of those… that parent, that child… and I’m saying this as a father… every American should feel that in their heart and every American should say, “That is not America. Those are not our values.” But we have to get under the skin of why we have this crisis in our system. Because we’re not being honest about the division that’s been fomented in this country. The way that American citizens have been told that immigrants somehow created their misery and their pain and their challenges…",candidate,1,1
134,de Blasio,,"For all the American citizens out there who feel you’re falling behind or feel the American dream is not working for you, the immigrants didn’t do that to you. The big corporations did that to you. The 1% did that to you. We need to be the party of working people, and that includes a party of immigrants. But first we have to tell working people in America who are hurting that we’re going to be on their side every single time against those big corporations who created this mess to begin with and remind people we’re all in this together. If we don’t change that debate, that politics that’s holding us back, we won’t get all these reforms people are talking about. [crosstalk 00:06:01] That’s what we need to do is Democrats. [crosstalk 00:00:06:03].",candidate,1,1
135,Jose,,"If I could up, sorry. [inaudible 00:06:06] O’Rourke. [inaudible 00:06:07] What would you do, congressman, day one at the White House?",proctor,1,1
